,Title,Abstract
10,Combined Intra- and Inter-domain Traffic Engineering using Hot-Potato Aware Link Weights Optimization,"A well-known approach to intradomain traffic engineering consists in finding
the set of link weights that minimizes a network-wide objective function for a
given intradomain traffic matrix. This approach is inadequate because it
ignores a potential impact on interdomain routing. Indeed, the resulting set of
link weights may trigger BGP to change the BGP next hop for some destination
prefixes, to enforce hot-potato routing policies. In turn, this results in
changes in the intradomain traffic matrix that have not been anticipated by the
link weights optimizer, possibly leading to degraded network performance.
We propose a BGP-aware link weights optimization method that takes these
effects into account, and even turns them into an advantage. This method uses
the interdomain traffic matrix and other available BGP data, to extend the
intradomain topology with external virtual nodes and links, on which all the
well-tuned heuristics of a classical link weights optimizer can be applied. A
key innovative asset of our method is its ability to also optimize the traffic
on the interdomain peering links. We show, using an operational network as a
case study, that our approach does so efficiently at almost no extra
computational cost."
11,Beyond Node Degree: Evaluating AS Topology Models,"Many models have been proposed to generate Internet Autonomous System (AS)
topologies, most of which make structural assumptions about the AS graph. In
this paper we compare AS topology generation models with several observed AS
topologies. In contrast to most previous works, we avoid making assumptions
about which topological properties are important to characterize the AS
topology. Our analysis shows that, although matching degree-based properties,
the existing AS topology generation models fail to capture the complexity of
the local interconnection structure between ASs. Furthermore, we use BGP data
from multiple vantage points to show that additional measurement locations
significantly affect local structure properties, such as clustering and node
centrality. Degree-based properties, however, are not notably affected by
additional measurements locations. These observations are particularly valid in
the core. The shortcomings of AS topology generation models stems from an
underestimation of the complexity of the connectivity in the core caused by
inappropriate use of BGP data."
12,Fast dynamics in Internet topology: preliminary observations and explanations,"By focusing on what can be observed by running traceroute-like measurements
at a high frequency from a single monitor to a fixed destination set, we show
that the observed view of the topology is constantly evolving at a pace much
higher than expected. Repeated measurements discover new IP addresses at a
constant rate, for long period of times (up to several months). In order to
provide explanations, we study this phenomenon both at the IP, and at the
Autonomous System levels. We show that this renewal of IP addresses is
partially caused by a BGP routing dynamics, altering paths between existing
ASes. Furthermore, we conjecture that an intra AS routing dynamics is another
cause of this phenomenon."
13,Neighbor-Specific BGP: More Flexible Routing Policies While Improving Global Stability,"Please Note: This document was written to summarize and facilitate discussion
regarding (1) the benefits of changing the way BGP selects routes to selecting
the most preferred route allowed by export policies, or more generally, to
selecting BGP routes on a per-neighbor basis, (2) the safety condition that
guarantees global routing stability under the Neighbor-Specific BGP model, and
(3) ways of deploying this model in practice. A paper presenting the formal
model and proof of the stability conditions was published at SIGMETRICS 2009
and is available online."
14,A Survey on BGP Issues and Solutions,"BGP is the de facto protocol used for inter-autonomous system routing in the
Internet. Generally speaking, BGP has been proven to be secure, efficient,
scalable, and robust. However, with the rapid evolving of the Internet in the
past few decades, there are increasing concerns about BGS's ability to meet the
needs of the Internet routing. There are two major limitations of BGP which are
its failure to address several key security issues, and some operational
related problems. The design and ubiquity of BGP have complicated past efforts
at securing inter-domain routing. This paper surveys the past work related to
BGP security and operational issues. We explore the limitations and advantages
of proposed solutions in these two limitations."
15,BGP Route Analysis and Management Systems,"The Border Gateway Protocol (BGP) is an important component in today's IP
network infrastructure. As the main routing protocol of the Internet, clear
understanding of its dynamics is crucial for configuring, diagnosing and
debugging Internet routing problems. Despite the increase in the services that
BGP provide such as MPLS VPNs, there is no much progress achieved in automating
the BGP management tasks. In this paper we discuss some of the problems
encountered by network engineers when managing BGP networks. We also describe
some of the open source tools and methods that attempt to resolve these issues.
Then we present some of the features that, if implemented, will ease BGP
management related tasks."
0,BGP Route Analysis and Management Systems,"The Border Gateway Protocol (BGP) is an important component in today's IP
network infrastructure. As the main routing protocol of the Internet, clear
understanding of its dynamics is crucial for configuring, diagnosing and
debugging Internet routing problems. Despite the increase in the services that
BGP provide such as MPLS VPNs, there is no much progress achieved in automating
the BGP management tasks. In this paper we discuss some of the problems
encountered by network engineers when managing BGP networks. We also describe
some of the open source tools and methods that attempt to resolve these issues.
Then we present some of the features that, if implemented, will ease BGP
management related tasks."
1,Network-Destabilizing Attacks,"The Border Gateway Protocol (BGP) sets up routes between the smaller networks
that make up the Internet. Despite its crucial role, BGP is notoriously
vulnerable to serious problems, including (1) propagation of bogus routing
information due to attacks or misconfigurations, and (2) network instabilities
in the form of persistent routing oscillations. The conditions required to
avoid BGP instabilities are quite delicate. How, then, can we explain the
observed stability of today's Internet in the face of common configuration
errors and attacks? This work explains this phenomenon by first noticing that
almost every observed attack and misconfiguration to date shares a common
characteristic: even when a router announces egregiously bogus information, it
will continue to announce the same bogus information for the duration of its
attack/misconfiguration. We call these the ""fixed-route attacks"", and show
that, while even simple fixed-route attacks can destabilize a network, the
commercial routing policies used in today's Internet prevent such attacks from
creating instabilities."
2,Feasibility study on distributed simulations of BGP,"The Autonomous System (AS) topology of the Internet (up to 61k ASs) is
growing at a rate of about 10% per year. The Border Gateway Protocol (BGP)
starts to show its limits in terms of the number of routing table entries it
can dynamically process and control. Due to the increasing routing information
processing and storage, the same trend is observed for routing model simulators
such as DRMSim specialized in large-scale simulations of routing models.
Therefore, DRMSim needs enhancements to support the current size of the
Internet topology and its evolution (up to 100k ASs). To this end, this paper
proposes a feasibility study of the extension of DRMSim so as to support the
Distributed Parallel Discrete Event paradigm. We first detail the possible
distribution models and their associated communication overhead. Then, we
analyze this overhead by executing BGP on a partitioned topology according to
different scenarios. Finally, we conclude on the feasibility of such a
simulator by computing the expected additional time required by a distributed
simulation of BGP compared to its sequential simulation."
0,"Preference Games and Personalized Equilibria, with Applications to Fractional BGP","We study the complexity of computing equilibria in two classes of network
games based on flows - fractional BGP (Border Gateway Protocol) games and
fractional BBC (Bounded Budget Connection) games. BGP is the glue that holds
the Internet together and hence its stability, i.e. the equilibria of
fractional BGP games (Haxell, Wilfong), is a matter of practical importance.
BBC games (Laoutaris et al) follow in the tradition of the large body of work
on network formation games and capture a variety of applications ranging from
social networks and overlay networks to peer-to-peer networks.
The central result of this paper is that there are no fully polynomial-time
approximation schemes (unless PPAD is in FP) for computing equilibria in both
fractional BGP games and fractional BBC games. We obtain this result by proving
the hardness for a new and surprisingly simple game, the fractional preference
game, which is reducible to both fractional BGP and BBC games.
We define a new flow-based notion of equilibrium for matrix games --
personalized equilibria -- generalizing both fractional BBC and fractional BGP
games. We prove not just the existence, but the existence of rational
personalized equilibria for all matrix games, which implies the existence of
rational equilibria for fractional BGP and BBC games. In particular, this
provides an alternative proof and strengthening of the main result in [Haxell,
Wilfong]. For k-player matrix games, where k = 2, we provide a combinatorial
characterization leading to a polynomial-time algorithm for computing all
personalized equilibria. For k >= 5, we prove that personalized equilibria are
PPAD-hard to approximate in fully polynomial time. We believe that the concept
of personalized equilibria has potential for real-world significance."
1,Route Distribution Incentives,"We present an incentive model for route distribution in the context of path
vector routing protocols and we focus on the Border Gateway Protocol (BGP). BGP
is the de-facto protocol for interdomain routing on the Internet. We model BGP
route distribution and computation using a game in which a BGP speaker
advertises its prefix to its direct neighbors promising them a reward for
further distributing the route deeper into the network, the neighbors do the
same thing with their neighbors, and so on. The result of this cascaded route
distribution is an advertised prefix and hence reachability of the BGP speaker.
We first study the convergence of BGP protocol dynamics to a unique outcome
tree in the defined game. We then proceed to study the existence of equilibria
in the full information game considering competition dynamics. We focus our
work on the simplest two classes of graphs: 1) the line (and the tree) graphs
which involve no competition, and 2) the ring graph which involves competition."
